# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;rosto risonho;lol|rindo|risada|rosto|rosto risonho
😱;rosto gritando de medo;assustado|gritando de medo|medo|rosto|rosto gritando de medo|temeroso
😖;rosto perplexo;perplexo|rosto
😣;rosto perseverante;perseverança|perseverante|rosto perseverante
😞;rosto desapontado;desapontamento|rosto|rosto decepcionado|rosto desapontado
😓;rosto cabisbaixo com gota de suor;rosto|rosto cabisbaixo com gota de suor|rosto com suor frio
😩;rosto desolado;cansado|rosto|rosto aborrecido|rosto desolado
😫;rosto cansado;cansado|exausto|rosto
🥱;rosto bocejando;bocejo|cansado|entediado|rosto bocejando
😤;rosto soltando vapor pelo nariz;rosto|rosto soltando vapor pelo nariz|triunfo|vitória
😡;rosto furioso;irado|rosto|rosto furioso|rosto vermelho|rosto vermelho furioso|zangado
😠;rosto zangado;irado|rosto|rosto zangado
🤬;rosto com símbolos na boca;rosto com símbolos na boca|xingando
😈;rosto sorridente com chifres;chifres|rosto|rosto sorridente com chifres|sorriso
👿;rosto zangado com chifres;demônio|diabo|rosto|rosto zangado com chifres
💀;caveira;caveira|conto de fadas|corpo|morte
☠️;caveira e ossos cruzados;caveira|caveira e ossos cruzados|morte|ossos cruzados|pirata
💩;cocô;cocô|estrume|excremento|fezes|pilha de cocô
🤡;rosto de palhaço;palhaço|rosto|rosto de palhaço
👹;ogro;conto de fadas|monstro|ogro|ogro japonês|oni
👺;duende japonês;conto de fadas|duende japonês|goblin|monstro|tengu
👻;fantasma;conto de fadas|fantasma|rosto
👽;alienígena;alienígena|extraterrestre|OVNI|rosto
👾;monstro alienígena;monstro|monstro alienígena|OVNI|rosto
🤖;rosto de robô;monstro|robô|rosto|rosto de robô
😺;rosto de gato sorrindo;aberta|boca|gato|rosto|rosto de gato|rosto de gato sorrindo
😸;rosto de gato sorrindo com olhos sorridentes;gato|olho|rosto|rosto de gato sorrindo com olhos sorridentes|sorridente|sorriso
😹;rosto de gato com lágrimas de alegria;alegria|gato|lágrimas|rosto|rosto de gato com lágrimas de alegria
😻;rosto de gato sorridente com olhos de coração;amor|coração|gato|olho|rosto|rosto de gato sorridente com olhos de coração|sorriso
😼;rosto de gato com sorriso irônico;gato|irônico|rosto|rosto de gato|rosto de gato com sorriso irônico|sorriso
😽;rosto de gato mandando um beijo;beijo|gato|olho fechado|rosto|rosto de gato mandando um beijo
🙀;rosto de gato desolado;gato|muito surpreso|oh!|rosto|rosto de gato desolado
😿;rosto de gato chorando;chorar|choro|gato|lágrima|rosto|rosto de gato chorando|triste
😾;rosto de gato mal-humorado;fazendo bico|gato|rosto|rosto de gato|rosto de gato mal-humorado
🙈;macaco que não vê nada;macaco|macaco com olhos tapados|macaco que não vê nada|olhos tapados
🙉;macaco que não ouve nada;macaco|macaco com ouvidos tapados|macaco que não ouve nada|ouvidos tapados
🙊;macaco que não fala nada;boca tapada|macaco|macaco com as mãos tapando a boca|macaco que não fala nada
💌;carta de amor;carta|carta de amor|coração|correspondência com coração|romance
💘;coração com flecha;amor|coração|coração com flecha|emoção|flecha
💝;coração com fita;coração|coração com fita|dia dos namorados|emoção|fita
💖;coração brilhante;amor|brilhante|coração brilhante|emoção|emocionante
💗;coração crescendo;amor|coração|coração crescendo|emoção|nervosismo
💓;coração pulsante;amor|batendo|coração|emoção|pulsante
💞;corações girando;corações girando|girando
💕;dois corações;amantes|amor|dois corações|emoção
💟;coração decorativo;coração|coração decorativo
❣️;exclamação de coração;exclamação|exclamação de coração|exclamação em forma de coração|pontuação|sinal
💔;coração partido;coração|coração partido|decepção amorosa|emoção|rompimento
❤️‍🔥;coração em chamas;amor|chamas|coração|coração em chamas|coração sagrado|fogo|luxúria
❤️‍🩹;coração remendado;bem|bom|coração remendado|curando|mais saudável|melhorando|recuperação
❤️;coração vermelho;amor|coração|coração vermelho
🩷;coração rosa;amor|coração|curtir|fofo|rosa
🧡;coração laranja;coração|emoção|laranja
💛;coração amarelo;amarelo|coração|emoção
💚;coração verde;coração|emoção|verde
💙;coração azul;azul|coração|emoção
🩵;coração azul-claro;azul-claro|ciano|coração|verde-azulado
💜;coração roxo;coração|emoção|roxo
🤎;coração marrom;coração|marrom
🖤;coração preto;coração|negro|preto
🩶;coração cinza;ardósia|cinza|coração|prata
🤍;coração branco;branco|coração
💋;marca de beijo;beijo|lábios|marca de beijo|romance
💯;cem pontos;100|100 pontos|cem pontos|pontuação|pontuação total
💢;símbolo de raiva;com raiva|emoção|engraçado|símbolo de raiva
💥;colisão;colisão|emoção|engraçado|símbolo de colisão
💫;zonzo;emoção|engraçado|estrelas|olhando para as estrelas|zonzo
💦;pingos de suor;com suor|emoção|engraçado|pingos de suor|suor
💨;rapidez;correr|emoção|engraçado|fugir|rapidez
🕳️;buraco;buraco|buraco no chão
💬;balão de diálogo;balão|balão de conversa|balão de diálogo|diálogo|engraçado
👁️‍🗨️;olho no balão de diálogo;balão de diálogo|olho|olho no balão de diálogo|testemunha
🗨️;balão de diálogo à esquerda;balão de diálogo|balão de diálogo à esquerda
🗯️;balão de raiva à direita;balão de diálogo|balão de raiva à direita|discurso furioso|enérgico|irado|raiva
💭;balão de pensamento;balão|balão de pensamento|engraçado|pensamento
💤;zzz;dormindo|emoção|engraçado|roncando|Zzz

[people_body]
👋;mão acenando;aceno|mão|mão acenando
	👋🏻;mão acenando: pele clara;aceno|mão|mão acenando|mão acenando: pele clara|pele clara
	👋🏼;mão acenando: pele morena clara;aceno|mão|mão acenando|mão acenando: pele morena clara|pele morena clara
	👋🏽;mão acenando: pele morena;aceno|mão|mão acenando|mão acenando: pele morena|pele morena
	👋🏾;mão acenando: pele morena escura;aceno|mão|mão acenando|mão acenando: pele morena escura|pele morena escura
	👋🏿;mão acenando: pele escura;aceno|mão|mão acenando|mão acenando: pele escura|pele escura
🤚;dorso da mão levantado;dorso da mão levantado|levantada|mão|palma|pare
	🤚🏻;dorso da mão levantado: pele clara;dorso da mão levantado|dorso da mão levantado: pele clara|levantada|mão|palma|pare|pele clara
	🤚🏼;dorso da mão levantado: pele morena clara;dorso da mão levantado|dorso da mão levantado: pele morena clara|levantada|mão|palma|pare|pele morena clara
	🤚🏽;dorso da mão levantado: pele morena;dorso da mão levantado|dorso da mão levantado: pele morena|levantada|mão|palma|pare|pele morena
	🤚🏾;dorso da mão levantado: pele morena escura;dorso da mão levantado|dorso da mão levantado: pele morena escura|levantada|mão|palma|pare|pele morena escura
	🤚🏿;dorso da mão levantado: pele escura;dorso da mão levantado|dorso da mão levantado: pele escura|levantada|mão|palma|pare|pele escura
🖐️;mão aberta com os dedos separados;cinco dedos|dedos|mão|mão aberta com os dedos separados|mão aberta indicando cinco|palma da mão
	🖐🏻;mão aberta com os dedos separados: pele clara;cinco dedos|dedos|mão|mão aberta com os dedos separados|mão aberta com os dedos separados: pele clara|mão aberta indicando cinco|palma da mão|pele clara
	🖐🏼;mão aberta com os dedos separados: pele morena clara;cinco dedos|dedos|mão|mão aberta com os dedos separados|mão aberta com os dedos separados: pele morena clara|mão aberta indicando cinco|palma da mão|pele morena clara
	🖐🏽;mão aberta com os dedos separados: pele morena;cinco dedos|dedos|mão|mão aberta com os dedos separados|mão aberta com os dedos separados: pele morena|mão aberta indicando cinco|palma da mão|pele morena
	🖐🏾;mão aberta com os dedos separados: pele morena escura;cinco dedos|dedos|mão|mão aberta com os dedos separados|mão aberta com os dedos separados: pele morena escura|mão aberta indicando cinco|palma da mão|pele morena escura
	🖐🏿;mão aberta com os dedos separados: pele escura;cinco dedos|dedos|mão|mão aberta com os dedos separados|mão aberta com os dedos separados: pele escura|mão aberta indicando cinco|palma da mão|pele escura
✋;mão levantada;mão erguida|mão levantada
	✋🏻;mão levantada: pele clara;mão erguida|mão levantada|mão levantada: pele clara|pele clara
	✋🏼;mão levantada: pele morena clara;mão erguida|mão levantada|mão levantada: pele morena clara|pele morena clara
	✋🏽;mão levantada: pele morena;mão erguida|mão levantada|mão levantada: pele morena|pele morena
	✋🏾;mão levantada: pele morena escura;mão erguida|mão levantada|mão levantada: pele morena escura|pele morena escura
	✋🏿;mão levantada: pele escura;mão erguida|mão levantada|mão levantada: pele escura|pele escura
🖖;saudação vulcana;dedos|jornada nas estrelas|mão|saudação|saudação vulcana|spock|star trek
	🖖🏻;saudação vulcana: pele clara;dedos|jornada nas estrelas|mão|pele clara|saudação|saudação vulcana|saudação vulcana: pele clara|spock|star trek
	🖖🏼;saudação vulcana: pele morena clara;dedos|jornada nas estrelas|mão|pele morena clara|saudação|saudação vulcana|saudação vulcana: pele morena clara|spock|star trek
	🖖🏽;saudação vulcana: pele morena;dedos|jornada nas estrelas|mão|pele morena|saudação|saudação vulcana|saudação vulcana: pele morena|spock|star trek
	🖖🏾;saudação vulcana: pele morena escura;dedos|jornada nas estrelas|mão|pele morena escura|saudação|saudação vulcana|saudação vulcana: pele morena escura|spock|star trek
	🖖🏿;saudação vulcana: pele escura;dedos|jornada nas estrelas|mão|pele escura|saudação|saudação vulcana|saudação vulcana: pele escura|spock|star trek
🫱;mão para a direita;direita|mão|mão para a direita|para a direita
	🫱🏻;mão para a direita: pele clara;direita|mão|mão para a direita|mão para a direita: pele clara|para a direita|pele clara
	🫱🏼;mão para a direita: pele morena clara;direita|mão|mão para a direita|mão para a direita: pele morena clara|para a direita|pele morena clara
	🫱🏽;mão para a direita: pele morena;direita|mão|mão para a direita|mão para a direita: pele morena|para a direita|pele morena
	🫱🏾;mão para a direita: pele morena escura;direita|mão|mão para a direita|mão para a direita: pele morena escura|para a direita|pele morena escura
	🫱🏿;mão para a direita: pele escura;direita|mão|mão para a direita|mão para a direita: pele escura|para a direita|pele escura
🫲;mão para a esquerda;esquerda|mão|mão para a esquerda|para a esquerda
	🫲🏻;mão para a esquerda: pele clara;esquerda|mão|mão para a esquerda|mão para a esquerda: pele clara|para a esquerda|pele clara
	🫲🏼;mão para a esquerda: pele morena clara;esquerda|mão|mão para a esquerda|mão para a esquerda: pele morena clara|para a esquerda|pele morena clara
	🫲🏽;mão para a esquerda: pele morena;esquerda|mão|mão para a esquerda|mão para a esquerda: pele morena|para a esquerda|pele morena
	🫲🏾;mão para a esquerda: pele morena escura;esquerda|mão|mão para a esquerda|mão para a esquerda: pele morena escura|para a esquerda|pele morena escura
	🫲🏿;mão para a esquerda: pele escura;esquerda|mão|mão para a esquerda|mão para a esquerda: pele escura|para a esquerda|pele escura
🫳;mão com a palma para baixo;cair|descartar|mão com a palma para baixo|xô
	🫳🏻;mão com a palma para baixo: pele clara;cair|descartar|mão com a palma para baixo|mão com a palma para baixo: pele clara|pele clara|xô
	🫳🏼;mão com a palma para baixo: pele morena clara;cair|descartar|mão com a palma para baixo|mão com a palma para baixo: pele morena clara|pele morena clara|xô
	🫳🏽;mão com a palma para baixo: pele morena;cair|descartar|mão com a palma para baixo|mão com a palma para baixo: pele morena|pele morena|xô
	🫳🏾;mão com a palma para baixo: pele morena escura;cair|descartar|mão com a palma para baixo|mão com a palma para baixo: pele morena escura|pele morena escura|xô
	🫳🏿;mão com a palma para baixo: pele escura;cair|descartar|mão com a palma para baixo|mão com a palma para baixo: pele escura|pele escura|xô
🫴;mão com a palma para cima;acenar|mão com a palma para cima|oferecer|pegar|venha
	🫴🏻;mão com a palma para cima: pele clara;acenar|mão com a palma para cima|mão com a palma para cima: pele clara|oferecer|pegar|pele clara|venha
	🫴🏼;mão com a palma para cima: pele morena clara;acenar|mão com a palma para cima|mão com a palma para cima: pele morena clara|oferecer|pegar|pele morena clara|venha
	🫴🏽;mão com a palma para cima: pele morena;acenar|mão com a palma para cima|mão com a palma para cima: pele morena|oferecer|pegar|pele morena|venha
	🫴🏾;mão com a palma para cima: pele morena escura;acenar|mão com a palma para cima|mão com a palma para cima: pele morena escura|oferecer|pegar|pele morena escura|venha
	🫴🏿;mão com a palma para cima: pele escura;acenar|mão com a palma para cima|mão com a palma para cima: pele escura|oferecer|pegar|pele escura|venha
🫷;mão empurrando para a esquerda;empurrar|esperar|esquerda|mão empurrando para a esquerda|parar|recusar|toca aqui
	🫷🏻;mão empurrando para a esquerda: pele clara;empurrar|esperar|esquerda|mão empurrando para a esquerda|mão empurrando para a esquerda: pele clara|parar|pele clara|recusar|toca aqui
	🫷🏼;mão empurrando para a esquerda: pele morena clara;empurrar|esperar|esquerda|mão empurrando para a esquerda|mão empurrando para a esquerda: pele morena clara|parar|pele morena clara|recusar|toca aqui
	🫷🏽;mão empurrando para a esquerda: pele morena;empurrar|esperar|esquerda|mão empurrando para a esquerda|mão empurrando para a esquerda: pele morena|parar|pele morena|recusar|toca aqui
	🫷🏾;mão empurrando para a esquerda: pele morena escura;empurrar|esperar|esquerda|mão empurrando para a esquerda|mão empurrando para a esquerda: pele morena escura|parar|pele morena escura|recusar|toca aqui
	🫷🏿;mão empurrando para a esquerda: pele escura;empurrar|esperar|esquerda|mão empurrando para a esquerda|mão empurrando para a esquerda: pele escura|parar|pele escura|recusar|toca aqui
🫸;mão empurrando para a direita;direita|empurrar|esperar|mão empurrando para a direita|parar|recusar|toca aqui
	🫸🏻;mão empurrando para a direita: pele clara;direita|empurrar|esperar|mão empurrando para a direita|mão empurrando para a direita: pele clara|parar|pele clara|recusar|toca aqui
	🫸🏼;mão empurrando para a direita: pele morena clara;direita|empurrar|esperar|mão empurrando para a direita|mão empurrando para a direita: pele morena clara|parar|pele morena clara|recusar|toca aqui
	🫸🏽;mão empurrando para a direita: pele morena;direita|empurrar|esperar|mão empurrando para a direita|mão empurrando para a direita: pele morena|parar|pele morena|recusar|toca aqui
	🫸🏾;mão empurrando para a direita: pele morena escura;direita|empurrar|esperar|mão empurrando para a direita|mão empurrando para a direita: pele morena escura|parar|pele morena escura|recusar|toca aqui
	🫸🏿;mão empurrando para a direita: pele escura;direita|empurrar|esperar|mão empurrando para a direita|mão empurrando para a direita: pele escura|parar|pele escura|recusar|toca aqui
👌;sinal de ok;mão|mão sinalizando ok|ok|sinal|sinal de ok
	👌🏻;sinal de ok: pele clara;mão|mão sinalizando ok|ok|pele clara|sinal|sinal de ok|sinal de ok: pele clara
	👌🏼;sinal de ok: pele morena clara;mão|mão sinalizando ok|ok|pele morena clara|sinal|sinal de ok|sinal de ok: pele morena clara
	👌🏽;sinal de ok: pele morena;mão|mão sinalizando ok|ok|pele morena|sinal|sinal de ok|sinal de ok: pele morena
	👌🏾;sinal de ok: pele morena escura;mão|mão sinalizando ok|ok|pele morena escura|sinal|sinal de ok|sinal de ok: pele morena escura
	👌🏿;sinal de ok: pele escura;mão|mão sinalizando ok|ok|pele escura|sinal|sinal de ok|sinal de ok: pele escura
🤌;dedos comprimidos;beliscado|dedos|dedos comprimidos|gesto de mão|interrogação|sarcástico
	🤌🏻;dedos comprimidos: pele clara;beliscado|dedos|dedos comprimidos|dedos comprimidos: pele clara|gesto de mão|interrogação|pele clara|sarcástico
	🤌🏼;dedos comprimidos: pele morena clara;beliscado|dedos|dedos comprimidos|dedos comprimidos: pele morena clara|gesto de mão|interrogação|pele morena clara|sarcástico
	🤌🏽;dedos comprimidos: pele morena;beliscado|dedos|dedos comprimidos|dedos comprimidos: pele morena|gesto de mão|interrogação|pele morena|sarcástico
	🤌🏾;dedos comprimidos: pele morena escura;beliscado|dedos|dedos comprimidos|dedos comprimidos: pele morena escura|gesto de mão|interrogação|pele morena escura|sarcástico
	🤌🏿;dedos comprimidos: pele escura;beliscado|dedos|dedos comprimidos|dedos comprimidos: pele escura|gesto de mão|interrogação|pele escura|sarcástico
🤏;mão beliscando;mão beliscando|pequena quantidade
	🤏🏻;mão beliscando: pele clara;mão beliscando|mão beliscando: pele clara|pele clara|pequena quantidade
	🤏🏼;mão beliscando: pele morena clara;mão beliscando|mão beliscando: pele morena clara|pele morena clara|pequena quantidade
	🤏🏽;mão beliscando: pele morena;mão beliscando|mão beliscando: pele morena|pele morena|pequena quantidade
	🤏🏾;mão beliscando: pele morena escura;mão beliscando|mão beliscando: pele morena escura|pele morena escura|pequena quantidade
	🤏🏿;mão beliscando: pele escura;mão beliscando|mão beliscando: pele escura|pele escura|pequena quantidade
✌️;mão em V de vitória;mão com sinal de vitória|mão em V de vitória|sim!|vitória
	✌🏻;mão em V de vitória: pele clara;mão com sinal de vitória|mão em V de vitória|mão em V de vitória: pele clara|pele clara|sim!|vitória
	✌🏼;mão em V de vitória: pele morena clara;mão com sinal de vitória|mão em V de vitória|mão em V de vitória: pele morena clara|pele morena clara|sim!|vitória
	✌🏽;mão em V de vitória: pele morena;mão com sinal de vitória|mão em V de vitória|mão em V de vitória: pele morena|pele morena|sim!|vitória
	✌🏾;mão em V de vitória: pele morena escura;mão com sinal de vitória|mão em V de vitória|mão em V de vitória: pele morena escura|pele morena escura|sim!|vitória
	✌🏿;mão em V de vitória: pele escura;mão com sinal de vitória|mão em V de vitória|mão em V de vitória: pele escura|pele escura|sim!|vitória
🤞;dedos cruzados;cruzados|dedos|mão|sorte
	🤞🏻;dedos cruzados: pele clara;cruzados|dedos|dedos cruzados: pele clara|mão|pele clara|sorte
	🤞🏼;dedos cruzados: pele morena clara;cruzados|dedos|dedos cruzados: pele morena clara|mão|pele morena clara|sorte
	🤞🏽;dedos cruzados: pele morena;cruzados|dedos|dedos cruzados: pele morena|mão|pele morena|sorte
	🤞🏾;dedos cruzados: pele morena escura;cruzados|dedos|dedos cruzados: pele morena escura|mão|pele morena escura|sorte
	🤞🏿;dedos cruzados: pele escura;cruzados|dedos|dedos cruzados: pele escura|mão|pele escura|sorte
🫰;mão com dedo indicador e polegar cruzados;amor|caro|coração|dinheiro|estalar|mão com dedo indicador e polegar cruzados
	🫰🏻;mão com dedo indicador e polegar cruzados: pele clara;amor|caro|coração|dinheiro|estalar|mão com dedo indicador e polegar cruzados|mão com dedo indicador e polegar cruzados: pele clara|pele clara
	🫰🏼;mão com dedo indicador e polegar cruzados: pele morena clara;amor|caro|coração|dinheiro|estalar|mão com dedo indicador e polegar cruzados|mão com dedo indicador e polegar cruzados: pele morena clara|pele morena clara
	🫰🏽;mão com dedo indicador e polegar cruzados: pele morena;amor|caro|coração|dinheiro|estalar|mão com dedo indicador e polegar cruzados|mão com dedo indicador e polegar cruzados: pele morena|pele morena
	🫰🏾;mão com dedo indicador e polegar cruzados: pele morena escura;amor|caro|coração|dinheiro|estalar|mão com dedo indicador e polegar cruzados|mão com dedo indicador e polegar cruzados: pele morena escura|pele morena escura
	🫰🏿;mão com dedo indicador e polegar cruzados: pele escura;amor|caro|coração|dinheiro|estalar|mão com dedo indicador e polegar cruzados|mão com dedo indicador e polegar cruzados: pele escura|pele escura
🤟;gesto de &quot;te amo&quot;;gesto de &quot;te amo&quot;|mão|te amo
	🤟🏻;gesto de &quot;te amo&quot;: pele clara;gesto de &quot;te amo&quot;|gesto de &quot;te amo&quot;: pele clara|mão|pele clara|te amo
	🤟🏼;gesto de &quot;te amo&quot;: pele morena clara;gesto de &quot;te amo&quot;|gesto de &quot;te amo&quot;: pele morena clara|mão|pele morena clara|te amo
	🤟🏽;gesto de &quot;te amo&quot;: pele morena;gesto de &quot;te amo&quot;|gesto de &quot;te amo&quot;: pele morena|mão|pele morena|te amo
	🤟🏾;gesto de &quot;te amo&quot;: pele morena escura;gesto de &quot;te amo&quot;|gesto de &quot;te amo&quot;: pele morena escura|mão|pele morena escura|te amo
	🤟🏿;gesto de &quot;te amo&quot;: pele escura;gesto de &quot;te amo&quot;|gesto de &quot;te amo&quot;: pele escura|mão|pele escura|te amo
🤘;saudação do rock;chifres|dedos|mão|saudação do rock
	🤘🏻;saudação do rock: pele clara;chifres|dedos|mão|pele clara|saudação do rock|saudação do rock: pele clara
	🤘🏼;saudação do rock: pele morena clara;chifres|dedos|mão|pele morena clara|saudação do rock|saudação do rock: pele morena clara
	🤘🏽;saudação do rock: pele morena;chifres|dedos|mão|pele morena|saudação do rock|saudação do rock: pele morena
